AVERAGEPRICE,TOTAL VOLUME,4046,4225,4770,TOTAL BAGS,TYPE,REGION
1.85,2161.08,1.5172969071020046,8.50315582949266,0.0,89.97954726340534,0,5.0
0.91,957464.14,14.41612006482039,29.51214862208834,1.378341960671237,54.69338935242003,1,12.0
1.7,1961.33,40.986473464434845,0.3584302488617418,0.0,58.65509628670341,0,50.0
1.09,184733.93,55.39362476617047,8.616018724876366,0.10498883448211165,35.88536767447106,1,26.0
0.88,5094837.54,43.26612090559417,32.7472068913114,2.1149561522623155,21.87171605083211,1,52.0
0.85,148704.27,1.8865026538915124,65.99422464465883,6.854961192439196,25.26431150901047,1,23.0
1.55,3016.06,2.045383712525613,72.74159002141867,0.0,25.213026266055717,0,39.0
0.99,288859.92,64.56518439802933,3.0358036518185005,0.102987634975458,32.296024315176716,1,27.0
1.81,134280.15,5.626118231175643,25.824353041011648,1.6904881324603822,66.85904059535233,0,29.0
2.2,4151.27,52.45671806459228,41.888867744087946,0.08479332830675913,5.569620863013005,0,48.0
1.83,9154.93,2.6060275720294968,1.6871783836686902,0.14396614720156242,95.56282789710023,0,16.0
1.73,12763.11,0.05970331682481777,4.307414102048795,0.0,95.63288258112638,0,4.0
1.91,1248.89,78.34877371105541,1.9657455820768843,0.4684159533665895,19.217064753501106,0,20.0
1.59,752799.06,10.56742685093151,61.086497637231375,16.928917259806354,11.41715825203076,1,8.0
1.43,12022.95,5.9475419926058075,62.693182621569576,0.0,31.35927538582461,0,41.0
1.31,66438.8,23.099047544507123,18.586006971829715,0.7510069417268223,57.56393854193633,0,46.0
0.77,897755.55,63.24255528133465,14.357918477919739,3.6692126269784677,18.73031361376713,1,53.0
0.93,6650357.96,61.43817828416562,26.090810907267315,2.9257969446204064,9.545213863946655,1,6.0
1.24,267082.86,21.06576588254297,40.82625893702052,0.201461823495525,37.90651335694099,1,16.0
1.71,14463.88,20.746369577181227,15.980428488068208,0.0,63.27320193475057,0,33.0
1.17,362625.87,50.577155457772506,16.315730590318886,3.468985817255675,29.63812813465294,1,44.0
1.67,34277.44,4.527175891781883,16.009188550836935,0.01735835581653706,79.44627720156464,0,32.0
1.41,9794.48,0.7934060817930099,39.21024903823378,0.0,59.99634487997321,0,39.0
1.64,1076259.08,1.1968577305754298,56.812079113887705,2.678102376613631,39.31296077892323,1,28.0
1.68,8438.39,18.219233763786697,75.83472676659883,0.0,5.9460394696144645,0,41.0
1.18,400101.77,0.6216393394110703,84.5111482511062,0.1520338187956529,14.715178590687064,1,30.0
